X,Y,CDP,INLINE,dip,var,Ins_Fre,Ins_phase,Max_Amp,label
413375.03,4193059.25,303,289,5.6527,0.0016,50.9835,-0.0805,1137064.125,1
413059.78,4194339.19,240,545,12.396,0.0015,51.0896,-0.0649,2814700.0,1
413794.76,4194444.33,387,566,12.4912,0.0021,51.0195,-0.055,1497003.25,1
413405.13,4192569.26,309,191,16.2267,0.0023,51.0712,-0.0849,6104609.0,1
414144.78,4194344.4,457,546,20.0463,0.0019,50.9477,-0.0614,1476130.25,1
412914.92,4193629.16,211,403,2.7686,0.0003,51.1989,0.0301,5407653.0,1
413779.88,4193849.33,384,447,6.3259,0.001,51.1061,-0.1076,2010498.625,1
414124.77,4194389.4,453,555,26.902,0.0035,51.0118,0.0179,1344212.75,1
417005.13,4192569.97,1029,191,16.0759,0.0022,51.1259,-0.0719,2045012.25,1
415810.06,4192924.74,790,262,7.7849,0.0096,50.8326,0.1663,582681.3125,1
412954.95,4193484.17,219,374,13.198,0.0014,51.0875,-0.0215,5087887.0,1
413230.03,4193084.22,274,294,12.7671,0.0011,51.1239,0.0221,1912825.625,1
413849.84,4194024.35,398,482,14.1226,0.0013,51.0067,-0.1144,1559352.375,1
414419.98,4193344.46,512,346,15.522,0.0014,51.1977,-0.0426,1153944.125,1
416750.09,4192749.92,978,227,6.4956,0.0006,51.0244,-0.0956,2013026.0,1
413039.97,4193394.18,236,356,4.2984,0.0002,51.0941,-0.0191,4660105.5,1
413239.99,4193284.22,276,334,4.1026,0.0007,51.0505,-0.103,3249111.0,1
413095.12,4192614.2,247,200,4.3315,0.0002,51.1008,-0.0846,8733929.0,1
413209.92,4193619.22,270,401,5.4935,0.0005,50.9628,-0.0722,3237605.75,1
413370.06,4192934.25,302,264,18.3132,0.004,51.1395,-0.0349,2378943.5,1
414344.97,4193359.44,497,349,21.9738,0.0016,51.2231,-0.0567,673280.75,1
414074.8,4194214.39,443,520,12.0824,0.0007,51.1641,-0.0039,2927278.0,1
417135.05,4193000.0,1055,277,10.9559,0.0025,50.905,0.0135,2515895.0,1
413575.09,4192764.29,343,230,1.8327,0.0001,51.3276,-0.0714,6713434.5,1
413110.02,4193114.2,250,300,4.7555,0.0005,50.9857,-0.0777,2876157.75,1
412989.97,4193359.17,226,349,8.0519,0.0007,50.9696,-0.1291,4246943.5,1
414199.91,4193699.42,468,417,60.3675,0.0019,51.6144,-0.0713,791344.875,1
412995.04,4193014.18,227,280,4.7298,0.0009,51.0792,0.0147,3742099.0,1
413909.96,4193449.36,410,367,5.2211,0.0034,51.051,-0.1645,1782390.75,1
413249.96,4193409.23,278,359,4.7328,0.0002,51.1768,-0.0474,5079162.0,1
413189.77,4194394.21,266,556,13.7936,0.002,51.137,0.0428,2229296.0,1
413819.93,4193554.34,392,388,9.5442,0.0014,51.0945,0.0147,2298374.25,1
414294.77,4194384.43,487,554,17.1136,0.0021,51.2419,-0.031,1231928.5,1
413984.89,4193754.37,425,428,10.8828,0.0012,51.0579,-0.0829,3114707.75,1
413939.9,4193734.36,416,424,2.0388,0.0003,51.2918,-0.076,3612358.5,1
414264.95,4193479.43,481,373,5.4791,0.0006,50.4852,-0.1759,577617.5,1
415870.02,4193144.75,802,306,5.6095,0.001,51.3782,-0.1119,1739920.5,1
416870.11,4192649.95,1002,207,5.421,0.0003,51.1025,-0.0812,2355873.25,1
412869.95,4193489.15,202,375,4.4038,0.0004,51.2077,-0.1267,6427860.0,1
413874.99,4193274.35,403,332,16.2562,0.0018,51.1358,-0.0906,1197504.375,1
413674.96,4193419.31,363,361,10.2653,0.0014,51.303,-0.1055,2855266.0,1
413319.94,4193524.24,292,382,2.3599,0.0001,51.2468,-0.0084,4891587.5,1
414154.85,4193969.41,459,471,0.7963,0.0021,51.12,-0.1369,2080667.5,1
413210.0,4193249.22,270,327,10.9548,0.0008,51.136,-0.0215,2768912.5,1
415835.06,4192919.74,795,261,25.616,0.0173,50.9482,0.1702,426508.6875,1
413929.79,4194264.36,414,530,7.29,0.001,51.1684,0.0038,3083655.5,1
414059.97,4193394.39,440,356,56.2456,0.0049,51.7134,-0.0536,478902.3125,1
412915.05,4192969.16,211,271,13.1131,0.0011,51.121,-0.0345,5502692.5,1
413695.05,4192954.31,367,268,14.2626,0.0012,51.0747,-0.0995,4654116.0,1
414409.94,4193534.46,510,384,9.6577,0.0012,52.5056,0.0026,561169.75,1
